0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:56:07 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:56:07 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:56:31 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:56:31 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:56:31 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:56:31 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:56:32 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:56:32 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:59:21 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:59:21 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:59:21 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:59:21 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:59:21 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:59:22 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:59:57 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 2383
